Dia;tiempo_respuesta_MEDIANA;IC_superior;IC_inferior
2025-05-10;150,91793250330716;152,64276988393664;149,19309512267768
2025-05-11;150,9640522450036;152,68888962563307;149,2392148643741
2025-05-12;151,01017198670002;152,7350093673295;149,28533460607053
2025-05-13;151,05629172839645;152,78112910902593;149,33145434776696
2025-05-14;151,10241147009287;152,82724885072236;149,3775740894634
2025-05-15;151,1485312117893;152,87336859241879;149,42369383115982
2025-05-16;151,19465095348573;152,91948833411521;149,46981357285625
2025-05-17;151,24077069518216;152,96560807581164;149,51593331455268
2025-05-18;151,2868904368786;153,01172781750807;149,5620530562491
2025-05-19;151,33301017857502;153,0578475592045;149,60817279794554
2025-05-20;151,37912992027145;153,10396730090093;149,65429253964197
2025-05-21;151,42524966196788;153,15008704259736;149,7004122813384
2025-05-22;151,4713694036643;153,1962067842938;149,74653202303483
2025-05-23;151,51748914536074;153,24232652599022;149,79265176473126
2025-05-24;151,56360888705717;153,28844626768665;149,8387715064277
2025-05-25;151,6097286287536;153,33456600938308;149,88489124812412
2025-05-26;151,65584837045003;153,3806857510795;149,93101098982055
2025-05-27;151,70196811214646;153,42680549277594;149,97713073151698
2025-05-28;151,7480878538429;153,47292523447237;150,0232504732134
2025-05-29;151,79420759553932;153,5190449761688;150,06937021490984
2025-05-30;151,84032733723575;153,56516471786523;150,11548995660627
2025-05-31;151,88644707893218;153,61128445956166;150,1616096983027
2025-06-01;151,9325668206286;153,6574042012581;150,20772943999913
2025-06-02;151,97868656232504;153,70352394295452;150,25384918169556
2025-06-03;152,02480630402147;153,74964368465095;150,299968923392
2025-06-04;152,0709260457179;153,79576342634738;150,34608866508842
2025-06-05;152,11704578741433;153,8418831680438;150,39220840678485
2025-06-06;152,16316552911076;153,88800290974024;150,43832814848128
2025-06-07;152,2092852708072;153,93412265143667;150,4844478901777
2025-06-08;152,25540501250362;153,9802423931331;150,53056763187413
2025-06-09;152,30152475420005;154,02636213482953;150,57668737357056
2025-06-10;152,34764449589647;154,07248187652596;150,622807115267
2025-06-11;152,3937642375929;154,11860161822239;150,66892685696342
2025-06-12;152,43988397928933;154,16472135991881;150,71504659865985
2025-06-13;152,48600372098576;154,21084110161524;150,76116634035628
2025-06-14;152,5321234626822;154,25696084331167;150,8072860820527
2025-06-15;152,57824320437862;154,3030805850081;150,85340582374914
2025-06-16;152,62436294607505;154,34920032670453;150,89952556544557
2025-06-17;152,67048268777148;154,39532006840096;150,945645307142
2025-06-18;152,7166024294679;154,4414398100974;150,99176504883843
2025-06-19;152,76272217116437;154,48755955179385;151,0378847905349
2025-06-20;152,80884191286077;154,53367929349025;151,0840045322313
2025-06-21;152,8549616545572;154,57979903518668;151,13012427392772
2025-06-22;152,90108139625363;154,6259187768831;151,17624401562415
2025-06-23;152,9472011379501;154,67203851857957;151,2223637573206
2025-06-24;152,9933208796465;154,71815826027597;151,268483499017
2025-06-25;153,03944062134292;154,7642780019724;151,31460324071344
2025-06-26;153,08556036303935;154,81039774366883;151,36072298240987
2025-06-27;153,1316801047358;154,8565174853653;151,40684272410633
2025-06-28;153,17779984643224;154,90263722706172;151,45296246580276
2025-06-29;153,22391958812864;154,94875696875812;151,49908220749916
2025-06-30;153,27003932982507;154,99487671045455;151,5452019491956
